"page","title","description","type","titleLocation","showCommentArea","commentText","helpURL","helpURLTitle","correctAnswer"
"High-level features","Have you enabled Secret Scanning?","This locates secrets in your repositories and creates alerts","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/code-security/secret-scanning/configuring-secret-scanning-for-your-repositories","Configure secret scanning","TRUE"
"High-level features","Have you enabled Secret Scanning push protection?","This prevents users pushing the most common secrets to your repos ","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/code-security/secret-scanning/push-protection-for-repositories-and-organizations","Push protection for repositories and organizations","TRUE"
